"CountryCode","Rank","LongName.x","GDP","LongName.y"
"170","PAN",89,"Panama",36253,"Republic of Panama"
"195","SRB",88,"Serbia",37489,"Republic of Serbia"
"107","KEN",87,"Kenya",40697,"Republic of Kenya"
"76","GHA",86,"Ghana",40711,"Republic of Ghana"
"67","ETH",85,"Ethiopia",41605,"Federal Democratic Republic of Ethiopia"
"129","LTU",84,"Lithuania",42344,"Republic of Lithuania"
"117","LBN",83,"Lebanon",42945,"Lebanese Republic"
"132","MAC",82,"Macao SAR, China",43582,"Macao Special Administrative Region of the People's Republic of China"
"45","CRI",81,"Costa Rica",45104,"Republic of Costa Rica"
"202","SVN",80,"Slovenia",45279,"Republic of Slovenia"
"217","TUN",79,"Tunisia",45662,"Republic of Tunisia"
"224","URY",78,"Uruguay",49920,"Oriental Republic of Uruguay"
"84","GTM",77,"Guatemala",50234,"Republic of Guatemala"
"20","BGR",76,"Bulgaria",50972,"Republic of Bulgaria"
"226","UZB",75,"Uzbekistan",51113,"Republic of Uzbekistan"
"130","LUX",74,"Luxembourg",55178,"Grand Duchy of Luxembourg"
"187","SDN",73,"Sudan",58769,"Republic of the Sudan"
"55","DOM",72,"Dominican Republic",59047,"Dominican Republic"
"91","HRV",71,"Croatia",59228,"Republic of Croatia"
"125","LKA",70,"Sri Lanka",59423,"Democratic Socialist Republic of Sri Lanka"
"24","BLR",69,"Belarus",63267,"Republic of Belarus"
"14","AZE",68,"Azerbaijan",66605,"Republic of Azerbaijan"
"46","CUB",67,"Cuba",68234,"Republic of Cuba"
"168","OMN",66,"Oman",69972,"Sultanate of Oman"
"207","SYR",65,"Syrian Arab Republic",73672,"Syrian Arab Republic"
"61","ECU",64,"Ecuador",84040,"Republic of Ecuador"
"201","SVK",63,"Slovak Republic",91149,"Slovak Republic"
"134","MAR",62,"Morocco",95982,"Kingdom of Morocco"
"176","PRI",61,"Puerto Rico",101496,"Puerto Rico"
"5","AGO",60,"Angola",114147,"People's Republic of Angola"
"19","BGD",59,"Bangladesh",116355,"People's Republic of Bangladesh"
"93","HUN",58,"Hungary",124600,"Republic of Hungary"
"230","VNM",57,"Vietnam",155820,"Socialist Republic of Vietnam"
"114","KWT",56,"Kuwait",160913,"State of Kuwait"
"166","NZL",55,"New Zealand",167347,"New Zealand"
"181","QAT",54,"Qatar",171476,"State of Qatar"
"222","UKR",53,"Ukraine",176309,"Ukraine"
"182","ROM",52,"Romania",192711,"Romania"
"50","CZE",51,"Czech Republic",196446,"Czech Republic"
"106","KAZ",50,"Kazakhstan",203521,"Republic of Kazakhstan"
"171","PER",49,"Peru",203790,"Republic of Peru"
"56","DZA",48,"Algeria",205789,"People's Democratic Republic of Algeria"
"99","IRQ",47,"Iraq",210280,"Republic of Iraq"
"97","IRL",46,"Ireland",210771,"Ireland"
"178","PRT",45,"Portugal",212274,"Portuguese Republic"
"169","PAK",44,"Pakistan",225143,"Islamic Republic of Pakistan"
"68","FIN",43,"Finland",247546,"Republic of Finland"
"81","GRC",42,"Greece",249099,"Hellenic Republic"
"172","PHL",41,"Philippines",250182,"Republic of the Philippines"
"101","ISR",40,"Israel",258217,"State of Israel"
"160","NGA",39,"Nigeria",262597,"Federal Republic of Nigeria"
"62","EGY",38,"Egypt, Arab Rep.",262832,"Arab Republic of Egypt"
"88","HKG",37,"Hong Kong SAR, China",263259,"Hong Kong Special Administrative Region of the People's Republic of China"
"37","CHL",36,"Chile",269869,"Republic of Chile"
"189","SGP",35,"Singapore",274701,"Republic of Singapore"
"155","MYS",34,"Malaysia",305033,"Malaysia"
"54","DNK",33,"Denmark",314887,"Kingdom of Denmark"
"7","ARE",32,"United Arab Emirates",348595,"United Arab Emirates"
"211","THA",31,"Thailand",365966,"Kingdom of Thailand"
"42","COL",30,"Colombia",369606,"Republic of Colombia"
"228","VEN",29,"Venezuela, RB",381286,"República Bolivariana de Venezuela"
"236","ZAF",28,"South Africa",384313,"Republic of South Africa"
"13","AUT",27,"Austria",394708,"Republic of Austria"
"8","ARG",26,"Argentina",475502,"Argentine Republic"
"16","BEL",25,"Belgium",483262,"Kingdom of Belgium"
"175","POL",24,"Poland",489795,"Republic of Poland"
"164","NOR",23,"Norway",499667,"Kingdom of Norway"
"98","IRN",22,"Iran, Islamic Rep.",514060,"Islamic Republic of Iran"
"203","SWE",21,"Sweden",523806,"Kingdom of Sweden"
"35","CHE",20,"Switzerland",631173,"Switzerland"
"186","SAU",19,"Saudi Arabia",711050,"Kingdom of Saudi Arabia"
"162","NLD",18,"Netherlands",770555,"Kingdom of the Netherlands"
"218","TUR",17,"Turkey",789257,"Republic of Turkey"
"94","IDN",16,"Indonesia",878043,"Republic of Indonesia"
"112","KOR",15,"Korea, Rep.",1129598,"Republic of Korea"
"140","MEX",14,"Mexico",1178126,"United Mexican States"
"65","ESP",13,"Spain",1322965,"Kingdom of Spain"
"12","AUS",12,"Australia",1532408,"Commonwealth of Australia"
"34","CAN",11,"Canada",1821424,"Canada"
"96","IND",10,"India",1841710,"Republic of India"
"102","ITA",9,"Italy",2014670,"Italian Republic"
"183","RUS",8,"Russian Federation",2014775,"Russian Federation"
"28","BRA",7,"Brazil",2252664,"Federative Republic of Brazil"
"74","GBR",6,"United Kingdom",2471784,"United Kingdom of Great Britain and Northern Ireland"
"70","FRA",5,"France",2612878,"French Republic"
"51","DEU",4,"Germany",3428131,"Federal Republic of Germany"
"105","JPN",3,"Japan",5959718,"Japan"
"38","CHN",2,"China",8227103,"People's Republic of China"
"225","USA",1,"United States",16244600,"United States of America"
